run_date,run_timestamp,country,state,geo_scope,category,site_or_source,source_tier,item_key,product_name_raw,pack_size,pack_unit,price_ngn,unit_price_ngn,n_reports,url_or_ref,scrape_status,spec_json,channel,transaction_basis,sku
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpen The Swiss Recipe No Added Sugar 1.3 kg,1.3,kg,365,280.77,,https://www.supermart.ng/products/alpen-the-swiss-recipe-no-added-sugar-13-kg,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpro Almond No Sugars 1 L,1l,l,365,,,https://www.supermart.ng/products/alpro-almond-no-sugars-1-l,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,rice,Alpro Rice Dolce Milk 1 L,1l,l,1285,,,https://www.supermart.ng/products/alpro-rice-dolce-milk-1-l,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,rice,Alpro Rice Original 1 L,1l,l,1285,,,https://www.supermart.ng/products/alpro-rice-original-1-l,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpro Soya Milk Coconut Almond Low Sugar 1 L,1l,l,1285,,,https://www.supermart.ng/products/alpro-soya-milk-coconut-almond-low-sugar-1-l,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpro Soya No Sugars 1 L,1l,l,365,,,https://www.supermart.ng/products/alpro-soya-no-sugars-1-l,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpro Yoghurt No Added Sugar Mango 400 g,0.4,kg,365,912.5,,https://www.supermart.ng/products/alpro-yoghurt-no-added-sugar-mango-400-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sanitary_pad,Always 3 in 1 Maxi Thick Long Sanitary Pads x14,14,piece,3495,249.64,,https://www.supermart.ng/products/always-3-in-1-maxi-thick-long-sanitary-pads-x14,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sanitary_pad,Always 3 in 1 Maxi Thick Long Sanitary Pads x7,7,piece,1975,282.14,,https://www.supermart.ng/products/always-3-in-1-maxi-thick-long-sanitary-pads-x7,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sanitary_pad,Always 3 in 1 Maxi Thick Sanitary Pads XL x14,14,piece,3290,235,,https://www.supermart.ng/products/always-3-in-1-maxi-thick-sanitary-pads-xl-x14,ok,,,,
